Olympic,Class,Finish,Country,BoatManufacturer,BoatModel,Rigger,Mount,Backstay,Seat,Span,Spread,OarManufacturer,OarModel,OarShaft,OarLength,OarInboard,OarOutboard,BladeShape,BladeLength,BladeWidth,VortexEdge,WorkTrough,WorkHeels,WorkToes,StretcherAngle,SwivelAboveSeatStarboard,SwivelAboveSeatPortside,SwivelAboveSeatSweep,SeatAboveHeels,PitchStarboard,PitchPortside,PitchSweep,MeasurementDate
O,W1x,1,SUI,Empacher,X17,"Carbon wing",Bow,No,1,158.5,,C2,Skinny,Soft,285.5,85,200.5,SM2P,46,21.5,No,14.5,34,40,17,16,,14,4,4,,,""
O,W1x,2,GBR,Empacher,X16,"Carbon wing",Bow,No,,,,C2,Skinny,Med,286,88.5,197.5,SM2P,46,21.5,No,,,40,18,17,,,,,,,""
O,W1x,3,AUT,Empacher,X17,"Carbon wing",Bow,No,1,159.5,,C2,Skinny,Soft,287,87.5,199.5,SM2P,46,21.5,No,19.5,38.8,44.5,14.5,13,,15.5,3.6,5,,,""
O,W1x,4,IRL,Empacher,X17,"Carbon wing",Bow,No,1,160.2,,C2,,Med,287,88.5,198.5,SM2P,46,21.5,No,12.5,36.5,42.2,16.5,15.5,,14.5,3.5,3.9,,,""
O,W1x,5,NED,Empacher,,"Carbon wing",Stern,Yes,1,159.5,,C2,Skinny,Med,287,88,199,SM2P,46,21.5,No,,34.5,39,16.8,15.3,,14.3,4.5,4.5,,,""
O,W1x,6,CAN,Hudson,U21,"Carbon wing",Bow,No,1,160.5,,Croker,S39,Soft,287,88.5,198.5,,44,21.5,No,21,38,44.5,15.5,14,,18.5,4.8,4,,,""
O,W1x,7,USA,Empacher,X15,"Carbon wing",Bow,No,1,160,,Croker,Slick40,S4,286.5,88,198.5,,44,21.5,No,17.4,31,44.2,16.4,15.6,,15.1,6.4,5.8,,,""
O,W1x,8,NZL,Filippi,,"Carbon wing",Bow,No,1,,,C2,,,,,,,,,,,,,,,,,,,,,""
O,W1x,9,DEN,Empacher,C15,"Carbon wing",Stern,Yes,1,,,C2,Skinny,Med,285,87.5,197.5,SM2P,46,21.5,No,17,40,44,19,17,,16,5,4.5,,,""
O,W1x,10,GER,Empacher,X17,"Carbon wing",Bow,No,1,160.5,,C2,Skinny,Soft,275.5,87.5,188,Fatty2,46,23,Yes,17.5,33,42.5,15,14.5,,14,4.2,4.1,,,""
O,W1x,11,ESP,Empacher,X17,"Carbon wing",Bow,No,1,160,,Croker,S39,Soft,287,89,198,Smooth,44,21.5,No,18,38,43,16,15.5,,15,5.5,5,,,""
O,W1x,12,CZE,Filippi,F15,"Carbon wing",Bow,No,1,160,,C2,Skinny,Soft,286.5,88,198.5,SM2P,46,21.5,No,16.5,34.5,43.3,17,5.5,,15.5,1.8,1,,,""
O,W1x,13,CHN,Empacher,X17,"Carbon wing",Bow,No,1,159.5,,C2,,Med,288.5,88,200.5,SM2P,,,No,,,42,17.4,,,,,,,,""
O,W1x,14,NOR,Empacher,X11,"Carbon wing",Bow,No,1,,,,,,,,,,,,,,,,,,,,,,,,""
