Class,Crew,Country,Seat,Span,OarLength,OarInboard,OarOutboard
W1x,F11C496E7DC0D4210F10A24E36A2A3A8,SUI,1,158.5,285.5,85,200.5
W1x,29A78F2AAAB3CEC2D938AD5D495EA78D,GBR,,,286,88.5,197.5
W1x,1CD9D8590D704824123F0674DAE808DF,AUT,1,159.5,287,87.5,199.5
W1x,8048FC3262A73080A67591EAFAB2AA88,IRL,1,160.2,287,88.5,198.5
W1x,AF503A16D04DC5ED3C3323188DF8EC00,NED,1,159.5,287,88,199
W1x,CF221B8244B9D70E185B5D0BB14C4B8C,CAN,1,160.5,287,88.5,198.5
W1x,CAF55DCD14836860A07FF121961F796A,USA,1,160,286.5,88,198.5
W1x,52BD7AB6D5458E7274B165B9C124A6D8,NZL,1,,,,
W1x,BFA26A5F7F36998C92780DAE7939C4B9,DEN,1,,285,87.5,197.5
W1x,E1ED41170AC37F1F962E03CF0AA12361,ESP,1,160,287,89,198
W1x,51D362C4173ED92790595AA59B99FED7,CZE,1,160,286.5,88,198.5
W1x,5B1E6B32613ED29D14725867FACCDD7E,CHN,1,159.5,288.5,88,200.5
W1x,8694EA1DAAEB82E5A0C842E354A2E33B,NOR,1,,,,
W1x,A6FC7694A35D36A586A473EF47B431F2,LAT,1,160,286.5,88,198.5
W1x,36C9C06F66547AAE6E60ACCED4BBBF8B,FIN,1,158.5,285,88,197
W1x,21799F7F2522B6403691B5638ECEBDDF,TTO,1,160,281.5,88.7,192.8
W1x,2C4AC0BF4198FA766E9F58087C1BCD8D,KOR,1,159,286,87.5,198.5
W1x,4074C9AD366C3600F538FFF8A62FA946,UKR,1,160,288,89,199
W1x,20C0C109E71F3ACDE2E8FD4AC018DA14,PAR,1,159,287,88,199
W1x,A8108C9E9EDE664BA6E177B7CC99F5A7,BAH,1,160,287,88,199
W1x,A6128F41154B0DF1D3CEC021B898F433,MAR,1,159,286,88,198
M1x,D7848D86CBFDD0C1ED68C3B47AF975DA,CZE,1,160.2,289,88.5,200.5
M1x,9F019685E072EBE8409DDCBD86C42629,CUB,1,160,292,89,203
M1x,5375A384DCD3C192D3EDA0D46E4663EE,GBR,1,,289,89,200
M1x,096338E6CA6F3C0B70950399AE9A5B5A,CRO,1,160.5,289,89,200
M1x,85710770E06C4F81206F2C1E8E59CEF1,NZL,1,159,289,88.5,200.5
