Class,Crew,Country,Seat,Spread,OarLength,OarInboard,OarOutboard
W2-,1198BF705FA68E0E35B19B47B9D28302,NZL,1,86,372,116,256
W2-,1198BF705FA68E0E35B19B47B9D28302,NZL,2,86,372,116,256
W2-,206AB69E7850AA078AF50F9028AD8858,USA,1,86.5,372,116,256
W2-,206AB69E7850AA078AF50F9028AD8858,USA,2,86.5,372,116,256
W2-,0D29D25067AD8F978C0AFDF2EE484575,DEN,1,85.7,373.3,115.5,257.8
W2-,0D29D25067AD8F978C0AFDF2EE484575,DEN,2,85.7,373.3,115.5,257.8
W2-,72467A5A79BD4838ACDA19768969595C,GBR,1,87,373,117,256
W2-,72467A5A79BD4838ACDA19768969595C,GBR,2,87,373,117,256
W2-,6FCBF6DB5C4207D84924D41FCFDB223A,ESP,1,86,372,116,256
W2-,6FCBF6DB5C4207D84924D41FCFDB223A,ESP,2,86,372,116,256
W2-,0E04AA9F4FD1A88234D38CA91D7A91BA,GER,1,86.5,373,117,256
W2-,0E04AA9F4FD1A88234D38CA91D7A91BA,GER,2,87,373,117,256
W2-,E92DFE1B9B937E972EDBF96438B35B8C,ITA,1,87,371,116,255
W2-,E92DFE1B9B937E972EDBF96438B35B8C,ITA,2,86.5,371,116.5,254.5
W2-,89E89E5BB5ABFB8A9D218705789A041D,IRL,1,,373.5,116,257.5
W2-,89E89E5BB5ABFB8A9D218705789A041D,IRL,2,,373,116,257
W2-,DD76BEE0E7BC13F23A7B0D8D17A3A967,SRB,1,86.5,373,116.5,256.5
W2-,DD76BEE0E7BC13F23A7B0D8D17A3A967,SRB,2,86.5,373,116.5,256.5
W2-,DCCC6F56DFCEB006632FE408B8A51023,CHN,1,86,373,116.5,256.5
W2-,DCCC6F56DFCEB006632FE408B8A51023,CHN,2,86,373.5,116.5,257
W2-,A159BA533FEE3C61226132F593A795F5,MEX,1,86.3,371,117,254
W2-,A159BA533FEE3C61226132F593A795F5,MEX,2,86,371,117.3,253.7
M2-,105F3AB7C956357BB934977B23A44E2F,ITA,1,86.5,375.5,117.5,258
M2-,105F3AB7C956357BB934977B23A44E2F,ITA,2,86,375.5,117,258.5
M2-,F8BF288638764767A68AA9A7372D643B,CRO,1,86,374.5,114.5,260
M2-,F8BF288638764767A68AA9A7372D643B,CRO,2,86,374.5,114.5,260
M2-,3D8D9388C0FA1FEBB3F37AC475A7868D,NZL,1,86,375.5,116.2,259.3
M2-,3D8D9388C0FA1FEBB3F37AC475A7868D,NZL,2,86,375.5,116.2,259.3
M2-,D94B9425B5C5C512D6A4D29C472731CD,FRA,1,86,376,116,260
M2-,D94B9425B5C5C512D6A4D29C472731CD,FRA,2,86,376,116,260
M2-,3537618D320A5CFF98B3E1F345CF3EFC,GBR,1,86,377,116,261
M2-,3537618D320A5CFF98B3E1F345CF3EFC,GBR,2,86,377,116,261
M2-,C1D2DD5D9D2D8AA5135EDAD4259ECD31,SRB,1,86.5,375.5,116,259.5
M2-,C1D2DD5D9D2D8AA5135EDAD4259ECD31,SRB,2,86.3,375.5,116,259.5
M2-,992DABCA7215580DF76EFF309B264A5A,ROU,1,85.5,375.5,115.5,260
M2-,992DABCA7215580DF76EFF309B264A5A,ROU,2,85.5,375.5,115.5,260
M2-,AD516992E5DA21E0F1DAEAA6C3673A44,CZE,1,86,376,116,260
M2-,AD516992E5DA21E0F1DAEAA6C3673A44,CZE,2,86,376,116,260
M2-,F250C46EAEF90EE0350C88512D900A5F,ESP,1,86,375,116,259
M2-,F250C46EAEF90EE0350C88512D900A5F,ESP,2,86.5,375.5,116,259.5
M2-,45BDFC040887FFEA8596303DE4B5A750,BLR,1,86.5,377,116,261
M2-,45BDFC040887FFEA8596303DE4B5A750,BLR,2,86,377,116,261
M2-,FF825D6D08FED0DBC5B4DF6835B6905F,USA,1,85.8,376.3,117.5,258.8
M2-,FF825D6D08FED0DBC5B4DF6835B6905F,USA,2,86.5,376.5,117.4,259.1
M2-,289AD74F22298956033F1FA4D9453143,TUR,1,86,375,116,259
M2-,289AD74F22298956033F1FA4D9453143,TUR,2,86,375,116,259
M2-,2A6F172B328FA42AFA7756B9D3F3EE6D,NED,1,86,376,116,260
M2-,2A6F172B328FA42AFA7756B9D3F3EE6D,NED,2,86,376,116,260
M2-,D316AF4B961A23E75D16DEA3F9116866,RSA,1,86.5,376,116.5,259.5
M2-,D316AF4B961A23E75D16DEA3F9116866,RSA,2,86.5,376.5,116.5,260
